id_commune;code_region;population_municipale;population_comptee_a_part
02205;32;229;3
02206;32;76;3
02207;32;216;3
02208;32;267;6
02209;32;708;11
02210;32;364;6
02211;32;294;3
02212;32;708;11
02213;32;343;2
02214;32;61;1
02215;32;841;6
02216;32;294;4
02217;32;992;9
02218;32;628;12
02219;32;200;72
02220;32;436;15
02221;32;152;4
02222;32;32;0
02223;32;301;12
02224;32;346;4
02225;32;84;2
02226;32;1863;30
02227;32;120;1
02228;32;339;6
02229;32;71;0
02230;32;186;6
02231;32;941;9
02232;32;362;10
02233;32;145;8
02234;32;83;1
02235;32;115;3
02236;32;330;3
02237;32;1502;16
02238;32;1816;31
02239;32;1244;85
02240;32;218;3
02241;32;96;3
02242;32;641;11
02243;32;2923;47
02244;32;63;3
02245;32;1805;35
02246;32;611;4
02248;32;156;3
02249;32;100;0
02250;32;73;4
02251;32;27;1
02252;32;71;2
02253;32;358;3
02254;32;129;5
02255;32;153;2
02256;32;129;3
02257;32;437;13
02258;32;370;13
02259;32;392;15
02260;32;650;11
02261;32;391;9
02262;32;211;3
02263;32;112;0
02264;32;730;16
02265;32;99;2
02266;32;46;2
02267;32;292;10
02268;32;647;13
02269;32;155;6
02270;32;164;3
02271;32;130;2
02272;32;78;2
02273;32;207;0
02274;32;195;6
02275;32;319;6
02276;32;117;5
02277;32;342;7
02278;32;28;5
02279;32;553;25
02280;32;409;12
02281;32;256;11
02282;32;427;8
02283;32;287;8
02284;32;102;1
02286;32;867;11
02287;32;1048;27
02288;32;347;8
02289;32;411;11
02290;32;2745;73
02291;32;410;8
02292;32;1305;28
02293;32;553;10
02294;32;207;8
02295;32;853;7
02296;32;1197;21
02297;32;121;2
02298;32;1420;9
02299;32;546;6
02302;32;321;12
02303;32;680;16
02304;32;2838;135
02305;32;3001;55
02306;32;510;9
02307;32;2060;159
02308;32;476;8
02309;32;671;5
02310;32;248;7
02311;32;120;2
02312;32;1100;10
02313;32;444;5
02315;32;1669;34
02316;32;128;5
02317;32;218;4
02318;32;1381;18
02319;32;490;8
02320;32;237;4
02321;32;901;189
02322;32;386;3
02323;32;134;3
02324;32;281;3
02326;32;470;8
02327;32;163;1
02328;32;513;6
02329;32;425;9
02330;32;530;7
02331;32;110;3
02332;32;265;4
02333;32;164;0
02334;32;2958;70
02335;32;183;8
02336;32;983;15
02337;32;168;4
02338;32;252;10
02339;32;690;9
02340;32;5235;74
02341;32;268;1
02342;32;134;2
02343;32;81;0
02345;32;41;1
02346;32;664;12
02347;32;444;6
02349;32;56;0
02350;32;136;2
02351;32;113;6
02352;32;560;10
02353;32;287;10
02354;32;80;2
02355;32;953;26
02356;32;240;2
02357;32;71;2
02358;32;333;3
02359;32;1301;20
02360;32;2751;39
02361;32;4645;78
02362;32;238;12
02363;32;390;3
02364;32;258;5
02366;32;324;7
02367;32;130;4
02368;32;574;7
02369;32;242;2
02370;32;610;5
02371;32;1578;35
02372;32;347;10
02373;32;197;5
02374;32;861;9
02375;32;159;3
02376;32;174;5
02377;32;135;8
02378;32;129;5
02379;32;209;123
02380;32;24;1
02381;32;8710;187
02382;32;1367;39
02383;32;1452;46
02384;32;56;2
02385;32;160;3
02386;32;225;2
02387;32;1015;35
02388;32;225;6
02389;32;659;16
02390;32;264;2
02391;32;206;0
02392;32;311;6
02393;32;141;5
02395;32;141;6
02396;32;64;1
02397;32;1252;20
02398;32;284;4
02399;32;607;5
02400;32;148;4
02401;32;194;2
02402;32;37;2
02403;32;260;7
02404;32;190;0
02405;32;535;5
02406;32;132;5
02407;32;199;9
02408;32;24304;666
02409;32;268;4
02410;32;244;10
02411;32;203;4
02412;32;100;1
02413;32;244;4
02414;32;201;5
02415;32;160;4
02416;32;420;10
02417;32;116;0
02418;32;223;4
02419;32;269;9
02420;32;829;11
02421;32;106;1
02422;32;805;10
02423;32;422;8
02424;32;104;0
02425;32;172;3
02426;32;540;10
02427;32;138;1
02428;32;74;2
02429;32;122;1
02430;32;1281;119
02431;32;383;9
02432;32;189;5
02433;32;221;8
02435;32;79;0
02438;32;249;9
02439;32;1177;20
02440;32;138;0
02441;32;188;3
02442;32;90;1
02443;32;203;6
02444;32;121;0
02445;32;282;6
02446;32;118;1
02447;32;147;5
02448;32;121;4
02449;32;66;3
02450;32;366;4
02451;32;124;1
02452;32;236;10
02453;32;404;8
02454;32;404;3
02455;32;204;1
02456;32;299;4
02457;32;404;10
02458;32;820;17
02459;32;161;8
02460;32;201;1
02461;32;383;6
02462;32;231;2
02463;32;89;2
02464;32;365;2
02465;32;513;7
02466;32;133;0
02467;32;51;1
02468;32;2235;29
02469;32;485;13
02470;32;435;12
02471;32;135;2
02472;32;409;7
02473;32;215;1
02474;32;392;4
02476;32;669;14
02477;32;964;21
02478;32;261;8
02480;32;312;3
02481;32;473;16
02482;32;54;1
02483;32;513;10
02484;32;527;3
02485;32;94;4
02486;32;107;1
02487;32;627;9
02488;32;156;2
02489;32;342;7
02490;32;126;3
02491;32;324;9
02492;32;454;8
02493;32;224;6
02494;32;127;2
02495;32;1046;15
02496;32;100;1
02497;32;1154;29
02498;32;763;13
02499;32;43;2
02500;32;810;19
02501;32;93;2
02502;32;1324;9
02503;32;831;2
02504;32;1616;28
02505;32;206;5
02506;32;195;6
02507;32;31;1
02508;32;151;6
02509;32;156;0
02510;32;151;2
02511;32;295;4
02512;32;270;5
