id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces
4984;30133;Appartement;37,97;41;2
4985;30189;Appartement;80,94;86;4
4986;30075;Maison;91,96;95;4
4987;30133;Appartement;26,28;20;1
4988;30133;Appartement;20,58;19;1
4989;30133;Appartement;100,11;95;4
4990;30133;Appartement;35,06;31;2
4991;30133;Appartement;33,27;25;1
4992;30350;Appartement;62,65;60;3
4993;30189;Appartement;79,4;88;4
4994;30133;Appartement;38,08;36;2
4995;30133;Appartement;45,63;50;1
4996;30189;Appartement;76,03;70;3
4997;30189;Maison;78,75;82;4
4998;30189;Appartement;76,69;74;4
4999;30004;Appartement;59,04;63;3
5000;30189;Appartement;106,7;105;6
5001;30189;Appartement;47,78;49;2
5002;30189;Appartement;51,72;56;2
5003;30189;Appartement;62,24;65;3
5004;30061;Appartement;74,87;71;3
5005;30189;Appartement;29,15;29;2
5006;30325;Maison;24,9;25;1
5007;30321;Appartement;62,88;65;2
5008;30062;Appartement;40,45;40;3
5009;30082;Maison;64,6;65;2
5010;30263;Appartement;75,65;84;3
5011;30123;Appartement;25,25;27;1
5012;30133;Appartement;21,35;22;1
5013;30189;Appartement;20,27;20;1
5014;30133;Appartement;80,79;80;3
5015;30133;Appartement;33,73;34;2
5016;30189;Appartement;213,45;112;4
5017;30133;Appartement;73,1;87;4
5018;30210;Appartement;57,26;50;3
5019;30189;Appartement;17,88;18;1
5020;30189;Appartement;32,26;32;1
5021;30189;Appartement;51,95;51;3
5022;30189;Appartement;37,76;37;1
5023;30263;Maison;137;146;5
5024;30276;Appartement;34,72;36;2
5025;30133;Appartement;25,04;24;1
5026;30169;Appartement;58,22;70;3
5027;30133;Appartement;25,71;24;1
5028;30189;Appartement;18,27;19;1
5029;30006;Appartement;44,77;45;2
5030;30189;Appartement;90,77;92;4
5031;30189;Appartement;21,01;20;1
5032;30189;Appartement;96,11;99;4
5033;30189;Appartement;75,57;77;3
5034;30189;Appartement;35,36;37;2
5035;30189;Appartement;38,72;51;2
5036;30133;Appartement;38,36;37;2
5037;30133;Appartement;46,63;26;1
5038;30133;Appartement;20,05;20;1
5039;30189;Appartement;48,69;53;2
5040;30133;Appartement;34,8;34;2
5041;30189;Appartement;47,12;59;2
5042;30082;Maison;74,95;77;4
5043;30189;Appartement;21,97;22;1
5044;30189;Appartement;23,65;23;1
5045;30189;Appartement;80,88;90;3
5046;30189;Maison;93,88;91;5
5047;30189;Maison;110,85;104;4
5048;30189;Appartement;35,07;34;2
5049;30189;Appartement;81,14;84;3
5050;30189;Appartement;75,1;90;4
5051;30189;Appartement;44,11;48;1
