"uai","code_departement","code_academie","libelle_academie","code_commune","nom_commune","restauration","hebergement","ulis","apprentissage","segpa","section_arts","section_cinema","section_theatre","section_sport","section_internationale","section_europeenne","lycee_agricole","lycee_militaire","lycee_des_metiers","post_bac"
"0030867B","03","6","Clermont-Ferrand","03310","Vichy","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0030888Z","03","6","Clermont-Ferrand","03165","Le Mayet-de-Montagne","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0"
"0030905T","03","6","Clermont-Ferrand","03118","Gannat","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0030924N","03","6","Clermont-Ferrand","03298","Varennes-sur-Allier","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0030935A","03","6","Clermont-Ferrand","03310","Vichy","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
"0031021U","03","6","Clermont-Ferrand","03185","Montluçon","1,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0031041R","03","6","Clermont-Ferrand","03190","Moulins","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
"0031043T","03","6","Clermont-Ferrand","03185","Montluçon","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0031044U","03","6","Clermont-Ferrand","03082","Commentry","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
"0031047X","03","6","Clermont-Ferrand","03106","Durdat-Larequille","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
"0031082K","03","6","Clermont-Ferrand","03095","Cusset","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0031100E","03","6","Clermont-Ferrand","03043","Broût-Vernet","1,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0031110R","03","6","Clermont-Ferrand","03118","Gannat","1,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0031119A","03","6","Clermont-Ferrand","03310","Vichy","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0040003G","04","2","Aix-Marseille","04019","Barcelonnette","1,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0040007L","04","2","Aix-Marseille","04070","Digne-les-Bains","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0040010P","04","2","Aix-Marseille","04112","Manosque","1,0","1,0","0,0","1,0","0,0","1,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0040011R","04","2","Aix-Marseille","04112","Manosque","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0"
"0040023D","04","2","Aix-Marseille","04209","Sisteron","1,0","1,0","0,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0040027H","04","2","Aix-Marseille","04070","Digne-les-Bains","1,0","1,0","0,0","0,0","0,0","1,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0040034R","04","2","Aix-Marseille","04070","Digne-les-Bains","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0040056P","04","2","Aix-Marseille","04046","Le Chaffaut-Saint-Jurson","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","1,0"
"0040490L","04","2","Aix-Marseille","04070","Digne-les-Bains","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0040496T","04","2","Aix-Marseille","04112","Manosque","1,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0040503A","04","2","Aix-Marseille","04209","Sisteron","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0040532G","04","2","Aix-Marseille","04019","Barcelonnette","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0040533H","04","2","Aix-Marseille","04112","Manosque","1,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0040534J","04","2","Aix-Marseille","04112","Manosque","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0040550B","04","2","Aix-Marseille","04112","Manosque","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0040587S","04","2","Aix-Marseille","04112","Manosque","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0"
"0050003B","05","2","Aix-Marseille","05023","Briançon","1,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","1,0"
"0050004C","05","2","Aix-Marseille","05046","Embrun","1,0","1,0","0,0","1,0","0,0","1,0","0,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0050005D","05","2","Aix-Marseille","05046","Embrun","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0050006E","05","2","Aix-Marseille","05061","Gap","1,0","1,0","0,0","1,0","0,0","1,0","0,0","1,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0050007F","05","2","Aix-Marseille","05061","Gap","1,0","1,0","0,0","1,0","0,0","1,0","0,0","1,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0050008G","05","2","Aix-Marseille","05061","Gap","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
"0050009H","05","2","Aix-Marseille","05061","Gap","1,0","1,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0"
"0050012L","05","2","Aix-Marseille","05061","Gap","0,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0"
"0050027C","05","2","Aix-Marseille","05179","Veynes","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
"0050035L","05","2","Aix-Marseille","05061","Gap","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0050039R","05","2","Aix-Marseille","05145","Saint-Jean-Saint-Nicolas","1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
"0050600A","05","2","Aix-Marseille","05023","Briançon","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0060001U","06","23","Nice","06004","Antibes","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
"0060002V","06","23","Nice","06004","Antibes","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
